33,28,30,26,27,16,8,5,6,7,5,5,1,1,0,1,0,0,1
32,28,29,23,25,18,7,11,6,6,4,5,2,1,1,1,0,0,0
28,24,28,26,32,13,16,1,14,4,4,2,2,3,1,0,1,0,0
21,19,17,20,20,12,9,4,8,4,5,4,4,3,0,1,0,0,0
18,18,17,14,12,11,5,5,5,2,2,1,4,2,2,0,0,0,0
19,18,17,14,15,14,1,2,4,4,1,3,3,1,1,0,1,0,0
19,18,16,13,16,12,5,1,1,3,2,1,1,1,0,1,0,0,1
13,11,12,8,9,11,5,3,4,1,3,3,0,1,0,1,0,0,0
14,10,9,6,13,7,4,2,3,4,0,0,1,0,0,0,0,0,0
11,10,12,8,8,7,3,3,0,1,3,2,0,0,0,0,0,0,0
10,10,9,9,8,8,4,1,1,0,0,0,2,0,0,0,0,0,0
12,11,11,10,10,5,3,2,2,1,0,3,1,0,0,1,1,0,0
16,14,15,11,13,6,2,5,4,2,2,4,2,2,0,0,0,0,0
13,13,13,11,9,8,2,4,2,2,1,1,0,1,0,1,0,0,0
10,10,8,9,11,7,6,1,5,2,0,1,3,2,0,0,0,0,1
9,7,7,6,8,4,2,2,2,2,1,0,0,0,0,1,0,0,0
11,7,6,5,9,3,3,3,1,2,0,0,1,0,0,0,0,0,0
11,8,9,8,10,7,3,1,4,5,4,1,1,1,0,0,0,0,1
8,6,5,4,6,3,3,2,1,0,0,0,0,0,0,0,0,0,0
10,8,10,9,8,5,3,4,2,2,1,2,0,0,0,0,0,0,0
9,8,9,9,8,5,3,2,0,1,0,0,0,0,0,0,0,0,0
6,6,6,6,5,4,2,1,0,1,0,0,1,0,0,0,0,0,0
8,5,8,6,8,4,1,0,1,2,1,0,0,0,0,0,0,0,0
6,4,6,4,2,2,0,1,1,1,0,1,0,0,1,0,0,0,0
8,7,6,6,6,5,2,0,3,3,2,2,1,0,0,0,0,0,0
