194,179,110,84,97,50,74,48,35,19,16,12,12,10,8,2,1,1
103,91,110,65,70,30,53,27,29,14,9,11,10,8,5,0,1,1
46,39,36,33,31,16,19,7,15,9,15,7,2,0,4,0,1,1
76,68,49,35,47,19,31,26,11,7,10,2,5,5,5,0,0,1
73,72,65,44,49,12,35,17,18,8,7,8,7,6,4,0,1,1
64,57,50,38,48,22,67,19,22,10,2,3,4,5,2,1,1,1
70,59,50,44,74,19,41,28,23,8,6,7,6,5,4,1,1,1
41,39,27,18,32,11,20,48,7,2,1,2,0,3,0,0,0,0
30,30,28,27,28,10,18,4,10,8,8,6,3,1,3,0,0,1
54,51,40,29,43,14,33,26,16,5,4,1,4,2,3,0,1,0
49,44,34,28,43,15,27,26,17,4,3,1,1,6,4,0,1,0
25,24,23,21,21,7,13,4,9,6,5,8,5,1,3,0,0,1
34,33,27,34,29,5,20,8,14,6,5,3,4,5,6,1,1,0
28,17,19,18,17,32,14,9,7,8,2,3,0,3,3,0,0,0
42,41,37,21,31,11,22,15,19,5,5,6,7,6,4,1,0,0
19,20,19,16,14,6,9,4,5,8,2,4,2,0,1,0,0,0
32,32,29,24,27,12,22,7,35,7,5,3,4,6,5,1,1,1
30,27,29,25,24,7,18,4,6,4,3,6,1,0,0,0,0,0
25,24,22,17,22,8,15,6,14,5,3,3,4,3,4,1,1,0
27,27,28,20,21,14,16,8,8,7,1,5,4,3,3,0,0,0
18,19,15,17,14,3,12,2,2,4,0,2,0,0,2,0,0,0
18,16,13,14,10,8,8,4,5,2,3,7,1,1,0,1,0,0
13,14,12,11,12,2,8,4,6,1,3,1,2,0,1,0,0,0
21,15,15,12,19,12,15,10,8,4,0,1,0,3,2,0,0,1
21,19,19,15,13,3,8,3,4,2,2,1,0,2,1,0,0,0
